index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales
272371,415,7,01/03/2015,0,0,0,0,0,15.578985538140842
558468,27,7,29/12/2013,0,0,0,0,0,71.6946488716959
76950,404,3,19/03/2014,657,1,1,0,0,7052.266434996946
77556,683,2,29/01/2013,862,1,0,0,0,7041.908370384161
456344,920,3,19/03/2014,591,1,1,0,0,6579.325536622525
436466,758,4,26/06/2014,569,1,0,0,0,5108.3346696720955
646251,563,1,16/02/2015,321,1,1,0,0,5155.955010732222
650464,930,6,22/11/2014,1367,1,0,0,0,9744.964185330424
162710,756,4,04/06/2015,0,0,1,1,0,708.505310285127
100327,49,2,13/01/2015,546,1,1,0,0,6510.949050570714
374540,787,4,23/07/2015,968,1,0,0,1,7575.656569730193
399143,782,4,19/09/2013,472,1,0,0,0,4519.464407224073
44740,897,7,20/04/2014,0,0,0,0,0,-54.13170963395589
674144,933,1,09/12/2013,965,1,0,0,0,7704.590291993993
81595,218,2,07/04/2015,804,1,0,0,1,6822.661758773277
416724,554,3,09/10/2013,499,1,1,0,1,6140.569284350407
632687,362,1,12/08/2013,1337,1,1,0,1,11380.163005362941
351899,655,3,09/04/2014,560,1,0,0,0,5146.145436172553
515940,785,3,31/12/2014,461,1,0,0,1,4593.408394345944
567411,690,3,19/03/2014,866,1,1,0,0,8272.226856480484
274598,1103,7,15/02/2015,0,0,0,0,0,-83.92507728012174
417880,431,1,02/06/2014,1367,1,1,0,0,11487.701094667875
453710,127,2,24/09/2013,642,1,1,0,0,7079.032213993015
597622,579,5,29/03/2013,0,0,1,1,1,720.4088693366319
223346,248,6,03/08/2013,1139,1,0,0,0,8467.61063034922
630018,962,6,11/01/2014,0,0,0,0,0,13.69694196334649
355860,224,2,26/03/2013,515,1,1,0,1,6362.086686483962
360080,208,3,19/06/2013,355,1,1,0,1,5321.564350823614
129544,401,1,30/03/2015,1063,1,1,0,0,9657.38680153665
422545,503,7,29/09/2013,0,0,0,0,0,2.8517216892932993
174199,221,4,05/03/2015,562,1,1,0,0,6428.174783109557
118613,268,7,02/11/2014,0,0,0,0,0,36.83930128564754
60310,799,2,27/08/2013,927,1,1,0,1,8765.363386250669
328458,260,6,25/10/2014,894,1,0,0,0,6987.289510144417
200661,1041,2,10/03/2015,594,1,0,0,0,5372.739969152501
179581,350,2,18/06/2013,533,1,1,0,0,6388.960461475762
587612,286,7,05/04/2015,0,0,0,0,0,34.23599731656509
320169,620,2,04/06/2013,709,1,1,0,0,7412.078505301454
37194,521,1,17/06/2013,484,1,1,0,0,6145.741428410051
685427,649,4,27/11/2014,435,1,1,0,0,5599.8235133278595
125422,1059,2,02/06/2015,1239,1,1,0,0,10547.159710543132
24499,486,6,28/06/2014,373,1,0,0,0,3810.3460748532534
281806,252,4,17/10/2013,642,1,0,0,0,5622.0745904701325
540511,656,3,15/05/2013,421,1,1,0,0,5591.549984012658
28689,642,5,12/09/2014,394,1,0,0,0,3991.7494858261825
165066,655,5,08/05/2015,761,1,1,0,0,7489.150357352449
555963,992,3,26/06/2013,627,1,0,0,0,5501.753695213042
610614,143,2,02/06/2015,731,1,1,0,0,7613.837010902383
64013,421,5,18/07/2014,941,1,1,0,1,8672.834959957316
30639,246,4,02/10/2014,1157,1,1,0,0,10015.409787699933
418604,960,1,28/04/2014,720,1,1,0,0,7506.519932581229
468037,313,5,17/01/2014,697,1,0,0,0,5867.950187139856
271589,291,6,29/06/2013,534,1,0,0,0,4810.1904898664425
77924,924,6,31/05/2014,333,1,0,0,0,3505.597283568778
247149,337,2,13/08/2013,430,1,1,0,1,5832.765050599849
576822,1024,4,12/03/2015,607,1,0,0,0,5299.19526376395
108538,56,3,22/01/2014,402,1,1,0,0,5563.660962164592
645670,507,3,09/04/2014,532,1,0,0,0,4998.569170292581
601663,970,5,15/03/2013,406,1,0,0,0,4016.73202080061
502588,846,2,23/06/2015,828,1,0,0,0,6813.142537832854
66732,549,3,27/08/2014,582,1,0,0,0,5294.246954410724
627113,1095,4,28/03/2013,852,1,1,0,1,8115.466315718776
